Waterbody Name,County,2012,2013,2014,2015,2016,2017
Agawam Lake,Suffolk,,HT,HT,HT,HT,HT
Alcove Reservoir,Albany,,,,,C,
Allegheny Reservoir,Cattaraugus,S,C,C,C,C,C
Allens Pond,Otsego,,,,,C,
Allison Pond,Richmond,,,,,C,C
Alma Pond,Allegany,S,,,,,
Andover Pond,Allegany,,,,C,C,
Arctic Lake,Broome,,,S,S,S,S
Avon Marsh Dam Pond,Livingston,,,,HT,HT,HT
Ballston Lake,Saratoga,C,C,C,,,C
Barger Pond,Putnam,,,,S,S,S
Barnum Pond,Franklin,,,S,,C,S
Basic Creek Reservoir,Albany,,HT,HT,,C,S
Beaver Dam Lake,Orange,C,HT,HT,S,C,C
Beaver Lake,Broome,C,HT,C,C,,C
Beaver Lake,Cattaraugus,S,,,,,
Beaver Lake Inlet,Cattaraugus,S,,,,,
Bedford Lake,Westchester,C,C,C,C,HT,C
Big Bowman Pond,Rensselaer,,,,,C,
Big Reed Pond,Suffolk,,,C,C,C,
Black Lake,St Lawrence,HT,HT,HT,C,C,C
Blind Sodus Bay,"Cayuga,  Wayne",,,S,,C,
Blue Heron Lake,Westchester,,,HT,,,
Blydenburg Lake,Suffolk,,,,,C,
Bowman Lake,Chenango,,,,,S,
Bowne Pond,Queens,S,,,C,C,C
Boyd Lake,Jefferson,,,HT,HT,,
Bradley Brook Reservoir,Madison,C,,,,,
Brooks Lake,Orange,,,,,C,S
Brooks Lake,Richmond,,,,HT,C,HT
Brown's Pond,Orange,,C,,S,,S
Buck Pond,Monroe,,,,,C,
Buckingham Lake,Albany,C,C,C,,,
Burden Lake,Rensselaer,,,,C,,
Burden Third Lake,Rensselaer,,C,,,,C
Butterfield Lake,Jefferson,,C,C,,,C
Canadarago Lake,Otsego,,,,C,C,
Canadice Lake,Ontario,,,,,,C
Canandaigua Lake,"Ontario, Yates",,,,HT,C,HT
Cannonsville Reservoir,Delaware,,,,,C,S
Casey Park Pond,Wayne,,,S,,,
Cayuga Lake,Multiple,,,C,,C,HT
Cayuga-Seneca Canal,Seneca,,,,C,,
Cayuta Lake,Schuyler,S,C,,,C,HT
Cazenovia Lake,Madison,HT,C,C,,C,
Cedar Lake,Herkimer,,,,C,,
Central Bridge Upper Reservoir,Schoharie,,,,,HT,
Chautauqua Lake,Chautauqua,HT,HT,HT,HT,HT,HT
Chenango Lake,Chenango,,C,,,C,
China Pond,Putnam,,,,,,C
Chodikee Lake,Ulster,,,,S,S,
Clove Lake,Richmond,,,,S,C,HT
Conesus Creek,Livingston,,,S,S,,
Conesus Lake,Livingston,,,S,,C,C
Congers Lake,Rockland,,HT,,,,
Coopers Neck Pond,Suffolk,,,,,,C
Copake Lake,Columbia,S,,C,,,
Cossayuna Lake,Washington,,HT,C,C,,S
Coxsackie Reservoir,Greene,,,,,,C
Craine Lake,Madison,HT,HT,HT,HT,HT,HT
Cranberry Pond,Monroe,,,,,HT,
Croton Falls Reservoir,Putnam,,,,,S,S
Cuba Lake,"Allegany, Cattaraugus",,,,C,,
De Ruyter Reservoir,"Madison, Onondaga",,,,,,HT
Dean Pond,Cortland,,HT,HT,HT,HT,HT
Deep Pond,Suffolk,,HT,,,,
Deer River Flow,Franklin,C,,,,,
Delaware Park Lake,Erie,,,,,C,
Division Pond,Suffolk,,,S,,,
Dryden Lake,Tompkins,,,,,HT,C
Duane Lake,Schenectady,C,,C,S,,C
Durand Lake,Monroe,,,,,HT,
Dutch Hollow Brook,Cayuga,,,,S,,
Eagle Pond,Franklin,S,,,,C,C
East Caroga Lake,Fulton,,,C,C,,
East Sidney Lake,Delaware,,,,,,S
Echo Lake,Chenango,,C,,,,
Eighth Lake,Hamilton,,,,,,C
Ellis Pond,Dutchess,,S,,,,
Engleville Pond,Schoharie,,,C,,,
Esopus Creek,Ulster,,,,,,S
Evens Lake,Sullivan,,,,HT,HT,HT
Fall Kill Pond,Dutchess,,,,,S,
Findley Lake,Chautauqua,HT,,,HT,C,C
Forest Lake,Niagara,,,,,,C
Fort Pond,Suffolk,,,,C,,C
Four Corners Pond,Orange,C,,,,,
Fox Lake,Sullivan,,,,,C,
Fresh Pond (Hither Hills SP),Suffolk,,,S,,,
Fresh Pond (Shelter Island),Suffolk,,S,S,S,,S
Friends Lake,Warren,,,,C,,
Geneganslet Lake,Chenango,,C,,,S,
Georgica Pond,Suffolk,S,,C,C,C,C
Gilbert Lake,Otsego,,,C,,S,
Glen Lake,Warren,,,,,,C
Glenn Lake,Chenango,,,,,S,
Golden Pond,Queens,,,,S,HT,C
Goodhue Lake,Steuben,S,,,,,
Goodliffe Pond,Westchester,,,,,S,
Goose Pond,Queens,,,,,HT,HT
Grass Lake,"Jefferson, St Lawrence",,C,C,,,
Grassy Sprain Reservoir,Westchester,,,C,,,
Guilford Lake,Chenango,,,,,C,
Hackensack River East Branch,Rockland,,S,S,,,
Hadlock Pond,Washington,,,,,,C
Halsey Pond,Westchester,,,,,S,
Hampton Manor Pond,Rensselaer,,,,,,S
Harlem Meer,New York,,,HT,HT,HT,C
Hatch Lake,Madison,C,,C,,,S
Hemlock Lake,"Livingston, Ontario",,,,,,C
Hessian Lake,"Orange, Rockland",,,,,,S
Hiawatha Lake,Onondaga,,,,,C,HT
Hollister Lake,Greene,,,,,,C
Honeoye Lake,Ontario,S,HT,HT,HT,C,C
Hook Pond,Suffolk,,,,C,C,
Horseshoe Pond,Franklin,C,,,,,
Hyde Lake,Jefferson,,,,,,S
Hyde Park Lake,Niagara,,,,,C,
Indian Lake,Bronx,,,,C,HT,C
Indian Lake,Putnam,,,,,,C
Iroquois Lake,Schenectady,,,,S,C,
Jamesville Reservoir,Onondaga,,,,,,C
Java Lake,Wyoming,C,,HT,HT,C,HT
Kellis Pond,Suffolk,,,,C,C,C
Keuka Lake,"Steuben, Yates",,,,,,HT
Kiamesha Lake,Sullivan,,,,C,,
Kirk Lake,Putnam,,C,HT,C,C,C
Kissena Lake,Queens,,S,HT,HT,C,HT
Kyser Lake,"Fulton, Herkimer",,,,S,,
Lake Anawanda,Sullivan,,C,,,,
Lake Boyce,Rockland,,,,S,,
Lake Capri,Suffolk,,,C,,,
Lake Carmel,Putnam,,,,S,C,C
Lake Casse,Putnam,,,,,S,S
Lake Champlain,Multiple,,,,,C,S
Lake Como,Cayuga,,C,,HT,C,
Lake Eaton,Hamilton,,,,,S,
Lake Huntington,Sullivan,,,C,,S,S
Lake Katonah,Westchester,,C,C,C,,
Lake La Salle,Erie,,,S,,,
Lake Lacoma,Monroe,,,S,S,,C
Lake Lincolndale,Westchester,,C,HT,C,HT,
Lake Lucille,Rockland,C,C,,,,
Lake Mohegan,Westchester,C,HT,HT,C,,C
Lake Moraine,Madison,C,HT,,C,,C
Lake Neatahwanta,Oswego,C,C,HT,C,HT,HT
Lake of the Woods,Jefferson,,,,C,,
Lake Ontario,Multiple,,,,S,S,S
Lake Oscaleta,Westchester,,,,,C,
Lake Peekskill,Putnam,C,,HT,C,C,C
Lake Petonia,Chenango,,,HT,,,
Lake Placid,Essex,,,,HT,,
Lake Pleasant,Hamilton,S,,,,,
Lake Rippowam,Westchester,,,,,C,C
Lake Ronkonkoma,Suffolk,,C,C,C,HT,HT
Lake Sunnyside,Warren,C,C,,,,
Lake Temalo,Oswego,,,,,C,
Lake Tiorati,Orange,,,,,,S
Lake Tonetta,Putnam,,,S,,,
Lake Waccabuc,Westchester,C,C,C,,HT,S
Lake Welch,Rockland,,,,,S,
Lamoka Lake,Schuyler,,S,,,S,S
Lamoka Lake Channel,Schuyler,,S,,,,
Laurel Lake,Broome,C,C,HT,C,C,
Laurel Lake,Suffolk,,,,,C,
Lawson Lake,Albany,,HT,HT,HT,C,C
Lime Lake,Cattaraugus,HT,C,HT,,,HT
Lincoln Pond,Essex,,,,,C,
Little Fresh Pond,Suffolk,,,,C,,
Little Pond,Delaware,,,,S,,
Little We Wah Lake,Orange,C,,C,,C,C
Long Pond,Chenango,,,,,S,
Long Pond,Rensselaer,,S,,,,
Looking Glass Pond,Schoharie,,,C,,,
Loon Lake,Warren,C,,,C,,
Lorton Lake,Oswego,HT,,,,,
Lounsbury Pond,Westchester,,,,,S,
Mallet Pond,Schoharie,,,,C,,
Maratooka Lake,Suffolk,,HT,HT,HT,HT,C
Mariaville Lake,Schenectady,,,C,C,HT,HT
Marion Lake,Suffolk,,,,,C,
Martlings Lake,Richmond,,,,HT,C,HT
Mckay Pond,Suffolk,,,,C,,
Meadow Brook Pointe- Mill Pond,,,,,,,
,,,,,,C,
Golf Course,Suffolk,,,,,,
Mecox Bay,Suffolk,,,,,C,
Melody Lake,Cortland,,C,,,,
Mill Pond,Genesee,,,C,HT,,
Mill Pond (Watermill),Suffolk,,C,HT,HT,HT,C
Millsite Lake,Jefferson,,,,,,S
Mirror Lake,Dutchess,,,,,S,
Montgomery Lake,Sullivan,C,C,C,C,C,C
Moon Lake,Jefferson,,,,HT,S,S
Morningside Lake,Sullivan,,,HT,HT,HT,S
Morningside Pond,New York,,,,,C,C
Mosko Beachville Dam,Steuben,,,,,S,
Mountain Lake,Sullivan,,,,,HT,
Muar Lakes,Ontario,,,,S,,
Muchattoes Lake,Orange,,,,,,C
Mud Lake,Steuben,S,,,,,
Muscoot Reservoir,Westchester,,,,,S,
Myosotis Lake,Albany,,,,,,C
Nassau Lake,Rensselaer,S,C,C,,HT,C
New Croton Reservoir,Westchester,,,,,S,S
New Rochelle Reservoir No.1,Westchester,,,,HT,,
New Rochelle Reservoir No.3,Westchester,,,,,S,
Newark Reservoir,Ontario,,,,,C,C
Niger Pond,Suffolk,,,,,C,
Nooteeming Lake,Dutchess,,,,,S,S
North Lake,Westchester,,,C,,,
North Sandy Pond,"Jefferson, Oswego",,,,C,HT,
Norwich Reservoir E,Chenango,,,,,S,
Oakland Lake,Queens,,,,,,C
Olana Pond,Columbia,,,S,,,
Old Town Pond,Suffolk,,,C,C,C,C
Onderdonk Lake,Albany,,,,C,,
Oneida Lake,Multiple,,C,S,S,S,HT
Oneida River,Onondaga,S,S,,,HT,
Orange Lake,Orange,C,C,HT,C,C,C
Oswego River,Oswego,,,,,HT,
Otisco Lake,Onondaga,,,,S,,C
Owasco Lake,Cayuga,,HT,HT,HT,HT,HT
Palmer Lake,Putnam,,,,,,C
Panther Lake,Oswego,,,,,,C
Patterson Veterans Park Swim,,,,,,,
,,,,S,,,
Pond,Putnam,,,,,,
Payne Lake,Jefferson,,,,S,,
Peach Lake,"Putnam, Westchester",,HT,,C,C,C
Peconic Lake,Suffolk,,,,,C,
Peconic River,Suffolk,,,,,C,
Pennellville Pond,Oswego,,,,,C,
Pleasant Lake,Fulton,,,,,C,
Pleasant Lake,Oswego,C,,,HT,C,
Pleasure Lake,Sullivan,,,,,,C
Plymouth Reservoir,Chenango,,,,,C,HT
Pond at Victorian Gardens,Suffolk,,,,,,C
Port Bay,Wayne,,,C,,C,
Poxabogue Pond,Suffolk,,,,,,C
Prestons Pond,Suffolk,,,,,,C
Prospect Park Lake,Kings,,S,C,HT,HT,HT
Putnam Lake,Putnam,,HT,HT,C,C,C
Quaker Lake,Cattaraugus,,,S,S,,
Raritan Bay Park Pond,Richmond,,,,S,,
Red House Lake,Cattaraugus,S,S,,S,S,S
Roaring Brook Lake,Putnam,C,,,HT,C,HT
Robinson Pond,Columbia,C,,,,C,
Rockland Lake,Rockland,S,S,C,S,S,C
Rondout Creek,Ulster,,,,,C,
Roth Pond,Suffolk,,,,C,HT,HT
Round Lake,Saratoga,,,,,C,C
Sagaponack Lake,Suffolk,,,C,C,C,C
Saratoga Lake,Saratoga,,HT,,HT,C,HT
Sayre Pond,Suffolk,,,,,,C
Schodack Pond,Nassau,,,,S,,
Schroon Lake,"Essex, Warren",,,,S,,
Secor Lake,Putnam,,,,,,S
Seneca Lake,Multiple,,,,HT,HT,HT
Sepasco Lake,Dutchess,,,,C,S,
Setauket Mill Pond,Suffolk,,,,,C,
Seventh Lake,Hamilton,,,,,,C
Sheldrake Lake,Westchester,,,,,S,
Silver Lake,St Lawrence,C,,,C,,
Silver Lake,Westchester,,,,,,S
Silver Lake,Wyoming,,,C,HT,,HT
Silver Lake Reservoir,Richmond,,,,S,C,HT
Sixberry Lake,Jefferson,,,,C,,
Sixtown Pond,Jefferson,,,,S,C,
Skaneateles Lake,Multiple,,,,,,HT
Sleepy Hollow Lake,Greene,C,HT,C,,,
Smith Pond,Steuben,,HT,C,C,C,C
Snyders Lake,Rensselaer,C,,C,C,,S
Sodus Bay,Wayne,S,C,C,C,C,C
Somerset Lake,Delaware,C,C,,,,
Song Lake,Cortland,HT,HT,HT,HT,HT,C
South Sandy Pond,Oswego,,,,,S,
Southerland Pond,Columbia,,,,,,HT
Spring Lake,Suffolk,,,,,C,C
St Lawrence River,St Lawrence,,,,,,S
Stissing Pond,Dutchess,,,,,S,
Stony Brook Duck Pond,Suffolk,,,,,C,C
Sturgeon Pool,Ulster,,,,,S,
Sucker Brook,Cayuga,,,,C,,
Sucker Brook,Ontario,,,,C,C,
Summit Lake,Schoharie,,S,,,,
Summit Lake,Washington,,S,,,S,C
Sunset Lake,Madison,,,,,,C
Tanglewood Lake,Steuben,,,,,,S
Tarrytown Reservoir,Westchester,,S,,,,
The Lake,New York,,HT,HT,HT,HT,HT
Thunder Lake,Chenango,,,,S,,S
Tillson Lake,Ulster,,,,S,,
Titus Lake,Delaware,,C,,,,
Tomahawk Lake,Orange,S,HT,,,,
Tomhannock Reservoir,Rensselaer,,S,,,,S
Truesdale Lake,Westchester,,C,S,,,
Tully Lake,"Cortland, Onondaga",,,,,C,C
Turtle Pond,New York,,,,HT,HT,HT
Tuscarora Lake,Madison,,C,,,,C
Tuxedo Lake,Orange,,,,C,,S
Unnamed Pond Algonquin Park,Orange,,,,,S,
Unnamed Pond Berkshire,Tioga,,,,,,C
Unnamed Pond Bozenkill,Albany,,,,S,,
Unnamed Pond Burdett,Schuyler,,,,,S,
Unnamed Pond Cameron Mills,Steuben,,,,,HT,
Unnamed Pond Collins,Erie,,,,,,S
Unnamed Pond Delancy,Delaware,,,,,,S
Unnamed Pond Delta Lake SP,Oneida,,,,,S,
Unnamed Pond Deruyter,Cortland,,,,,S,
Unnamed Pond East of Bullville,Orange,,,,S,,
Unnamed Pond Fairport,Monroe,,,,,C,
Unnamed Pond Grand Island,Erie,,,,S,,
Unnamed Pond Greenport,Suffolk,,,,,,S
Unnamed Pond Keuka Park,Yates,,,,,,S
Unnamed Pond Kingston,Ulster,,,,,S,
Unnamed Pond New Paltz,Ulster,,,,,,S
Unnamed Pond Orchard Park,Erie,,,,,,S
Unnamed Pond Slingerlands,Albany,,,,,C,
Unnamed Pond Wales,Erie,,,,,,S
Unnamed Wallkill Pond,Ulster,,,,,,C
Valatie Kill,Rensselaer,,,S,,C,
Van Cleef Lake,Seneca,,,,S,,
Vlaie Pond,Schoharie,,,,,,S
Vosburg Pond,Rensselaer,,,,,,C
Wainscott Pond,Suffolk,,,,C,C,C
Wallkill River,Ulster,,,,S,HT,
Waneta Lake,"Schuyler, Steuben",S,S,,S,,S
Warn Lake,Chenango,,,,,C,
Warners Lake,Albany,C,,,HT,C,
Washington Park Pond,Albany,,C,,,,HT
Waterport Reservoir,Orleans,,,,,S,
Wee Wah Lake,Orange,HT,,HT,,,
White Birch Lake,Broome,,,C,,,S
Wickapogue Pond,Suffolk,,,C,,C,
